resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name,lad17nm
2018-05-22,2017-12-01,local-authority-eng:SLG,br1,Tower and Ashbourne House,http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br1.pdf,,owned by a public authority,not permissioned,,,51.508277,-0.600187,1.12,,,2017-12-01,,cfs81. Residential development,4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br10,"Alexandra Plaza, 33, Chalvey Road West, Slough, SL1 2NJ",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br10.pdf,,,pending decision,,,51.506235,-0.606163,0.27,,,2017-12-01,,P/08040/020. Addition of third story and change of use of the first and second floors to provide a total of 32 residential flats (23no. 1 bed; 4no. 2 bed; 5no. 3 bed). Green roofs partly to be used as amenity space with privacy screening  above second and the proposed third floor. Demolition of 4 Alexandra Road to facilitate realigned vehicular access. Extension to the southeast end of the building to accommodate new pedestrian access and stairwell to all levels. (Revised application following withdrawal of P/08040/018),4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br11,"Stoke Road Bus Depot, Stanley Cottages, SL2 5AQ",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br11.pdf,,mixed ownership,not permissioned,,,51.512908,-0.592687,0.54,,,2017-12-01,,cfs69. Circa 150 residential units in undercroft parked blocks between 2 to 12 storeys.. http://webarchive.nationalarchives.gov.uk/20140328084622/http://publications.environment-agency.gov.uk/pdf/SCHO0195BJKQ-e-e.pdf,4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br12,"Brunel Way, Slough, Berkshire.",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br12.pdf,,,not permissioned,,,51.511566,-0.593793,0.35,,,2017-12-01,,"PreApp/00769. Mixed use regeneration scheme comprising new area of public realm/pedestrian link, private rented sector (PRS), resident accommodation, a hotel with conferencing and business facilities, a retail unit (use class A1-A3) and associated parking. http://webarchive.nationalarchives.gov.uk/20140328084622/http://publications.environment-agency.gov.uk/pdf/SCHO0195BJKO-e-e.pdf",4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br13,"Horlicks, Stoke Poges Lane",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br13.pdf,,,not permissioned,,,51.51448,-0.598771,3.51,,,2017-12-01,,ns1. Residential development plus community uses. Including conversion of historic building and new build behind.,4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br14,"Merrymakers (and garage court/houses), Meadow Road",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br14.pdf,,owned by a public authority,not permissioned,,,51.501556,-0.557271,0.51,,,2017-12-01,,cfs40. Mixed use community provision and affordable housing. Flats above health centre plus a hall.,4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br15,"132-134, High Street, Slough, SL1 1HP",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br15.pdf,,,not permissioned,,,51.50858,-0.593774,0.51,,,2017-12-01,,PreApp/00712. Mixed use development of C3 residential up to 300 units and A1/A3 (500sqm) and b. http://webarchive.nationalarchives.gov.uk/20140328084622/http:/publications.environment-agency.gov.uk/pdf/SCHO0195BJKX-e-e.pdf,4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br16,"Aspire 2 Site, Corner of Church Street and Herschel Street, Slough, SL1 1PG",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br16.pdf,,,not permissioned,,,51.507572,-0.594317,0.49,,,2017-12-01,,PreApp/00689. Construction of a mixed use and 200 residential units development.. http://webarchive.nationalarchives.gov.uk/20140328084622/http:/publications.environment-agency.gov.uk/pdf/SCHO0195BJKX-e-e.pdf,4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br17,"Haymill Community Centre, Burnham Lane",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br17.pdf,,owned by a public authority,not permissioned,,,51.525586,-0.64527,1.33,,,2017-12-01,,cfs42. Mixed tenure housing,4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br18,"National Grid, Uxbridge Road, SL2 5NA",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br18.pdf,,,not permissioned,,,51.51164,-0.577006,3.89,,,2017-12-01,,cfs2. Redevelopment for medium density residential purposes to provide predominantly family market housing with suitable levels of amenity and play provision.. http://webarchive.nationalarchives.gov.uk/20140328084622/http://publications.environment-agency.gov.uk/pdf/SCHO0195BJKP-e-e.pdf|http://webarchive.nationalarchives.gov.uk/20140328084622/http://publications.environment-agency.gov.uk/pdf/SCHO0195BJJY-e-e.pdf,4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br19,"Former Thames Valley University and car park, Wellington Street, Slough (NW quadrant of Heart of Slough Site)",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br19.pdf,,owned by a public authority,permissioned,outline planning permission,,51.511424,-0.596663,3.31,,,2017-12-01,,"P/14405/000. Comprehensive redevelopment for residences, offices, neighbourhood retail, restaurant, cafe, bar and public realm enhancement.",4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br2,"Gibtel Transport Café, Colnbrook, SL3 8QG",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br2.pdf,,,not permissioned,,,51.488091,-0.532473,0.28,,,2017-12-01,,cfs99. residential. http://webarchive.nationalarchives.gov.uk/20140328084622/http://publications.environment-agency.gov.uk/pdf/SCHO0195BJKO-e-e.pdf,4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br20,"18 Chalvey Park, (Units 1-10 Shaftesbury Court) Slough, SL1 2ER",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br20.pdf,,,pending decision,,,51.508321,-0.599041,0.38,,,2017-12-01,,F/00262/011. Prior approval for a change of use from B1a offices to class C3 residential,4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br21,"Elvian House, Nixey Close, Slough, SL1 1ND",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br21.pdf,,,permissioned,full planning permission,,51.504789,-0.58215,0.68,,,2017-12-01,,"F/04551/021, P/04551/023. Prior Approval for conversion of existing offices (B1 (a)) to 39 residential flats (C3).; Construction of a first floor extension on the eastern elevation, second floor extension to the south and enclosure of the basement at Elvian House to create 11 residential dwellings in total comprising 1No. Studio, 5No. 1 Bedroom, 3No. 2 Bedroom and 2No. 3 Bedroom flats along with associated car parking, external alterations to create balconies and associated works.",4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br22,"Gurney House, Upton Road, Slough, SL1 2AE",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br22.pdf,,owned by a public authority,permissioned,full planning permission,,51.503901,-0.583545,0.37,,,2017-12-01,,"S/00698/001. CONSTRUCTION OF 10 NEW BUILD HOUSES WITH ASSOCIATED ACCESS ROAD, PARKING AREAS, GARDENS AND OTHER EXTERNAL LANDSCAPED AREAS.",4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br23,"47-58, Mill Street, Slough, Berkshire, SL2 5AD",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br23.pdf,,,not permissioned,,,51.514112,-0.590115,1.41,,,2017-12-01,,"PreApp/00757. Demolition of existing buildings and erection of part two storey, part four, five and six storey blocks with basement level to provide up to a total of 149 x Class C3 flats and houses associated access, parking and amenity space. http://webarchive.nationalarchives.gov.uk/20140328084622/http://publications.environment-agency.gov.uk/pdf/SCHO0195BJKO-e-e.pdf|http://webarchive.nationalarchives.gov.uk/20140328084622/http://publications.environment-agency.gov.uk/pdf/SCHO0195BJJX-e-e.pdf",4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br24,"Compuware Ltd, 163, Bath Road, Slough, SL1 4AA",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br24.pdf,,,not permissioned,,,51.512646,-0.616346,0.44,,,2017-12-01,,PreApp/00892. Change of use from C1 to C3,4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
2018-05-22,2017-12-01,local-authority-eng:SLG,br25,"Site of the School of Nursing, Wexham Park Hospital, Wexham street, SL2 4HL",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br25.pdf,,owned by a public authority,not permissioned,,,51.530747,-0.577487,0.63,,,2017-12-01,,cfs30. 2-3 story town houses up to 30 dwellings or 3 - 4 storey apartments up to 128 apartments. Development could take the form of town houses or an apartment block to reflect the existing development off Church Lane. Please see main document for more info.,4e5b879d2fb8cacf3627f69521251fde5a81cffa6ee1350b7978587a70fb4e1c,Slough Borough Council,E06000039
